#separator:tab
#html:true
#guid column:1
#tags column:3
"B-N|kF-#aW"	-(r)on; -ir; -or	agental suffix (suf)	
m74K0~Sjvs	bethren	brother in law; kinsman by marriage (n)	
M&?a/TK*(:	bethres	*kinswoman by marriage; sister in law (n)	
l+%yB:L4y2	bethril	spouse (f.) (n)	
z3!X@F{*L7	bethron	spouse (m.) (n)	
u}aL4d[iTj	be	as; like (prep)	
s$^9U]`GA8	bilebra-; felcha-	to equal (vb)	
xc-ZB*2vuh	bilebren	equable (adj)	
MPPJ-j[|K&	bileutha-	to equalize; to make equal (vb)	
cn4dL(;/wY	biltha-	to be probable; to resemble; to seem like; to seem likely (vb)	
r?cjC_*PEg	bilthadren	probable (adj)	
K7:A]AHO`Y	blabed	beating (especially of wings); flapping (n)	
FB2{ghVTAl	blaud	pride (n)	
AzGa8N71Cz	blodren	*proud; arrogant (adj)	
e|^I[C!>KA	bloss [mb-]	wheat (n)	
tScI|H>HDV	blê	*fatty; fat of meat; greasy; oily (n adj)	
"m#ou>yrx??"	bliw; blîw	oil (n)	
D|A~,V;S41	boda-	to ban; to forbid; to prohibit; to refuse (vb)	
b6,RiVE}&{	boe [mb-]	to (lit.) *[it] needs; to must (impersonal) (vb)	
A3qG@-&*rI	bond [mb-]	snouted (adj)	
h`=]}$bRKt	born (adj)	[stead]fast (adj)	
H)-/Yi030<	born [mb-]	hot; red (adj)	
OeOV:=LZ1g	bothol [mb-]	oven (n)	
hHc^m@yx(a	both	fen; marsh; puddle; small pool (n)	
"fFAG#z@vee"	bo	*on (prep)	
Q7G)fC+X_d	brach	plaid; shawl; wrap (n)	
ooRQ=Vif4f	braetha-	to swathe; to wrap (vb)	
cX<hIWd;l[	brand (n, Warfare and Hunting)	steeple (n)	
L>dW0tT+K.	branna-; ras-; tortha-	to scorch (vb)	
C+42b7>NxZ	brant; brant [mb-]	cooked; done; overdone (adj)	
"EJ&_#YEl}I"	brass (Physical World)	great cliff (n)	
D@]sVjI,4s	brasta-	to loom; to tower up (vb)	
ey{t;4!?G.	brath-	to cook (vb)	
"E#|iSnl`qw"	bregol	*fierce; quick; sudden; violent (adj)	
n:8:8L*Rri	brethil (Agriculture and Vegetation)	beech; silver-birch (n)	
qkV>Y8h.~[	brethil (Social Relations)	(lit.) queen-daughter; princess (n)	
yi8Gjk$55j	bril	crystal; glass (n)	
x.8oQX.aWE	brithon	pebbly (adj)	
Bi6vt{_$(z	brith	gravel (n)	
Ol7zR(*BeS	bronad	survival (n)	
"hWTGm7[N`#"	brond	*faithful; constant; firm; steadfast (adj)	
"p99s.h#,;!"	bronnas	constancy; steadfastness (n)	
j7,HI~>+K,	brui	*noisy; loud (adj)	
MEM_y}n^YV	brêg	lively; quick; sudden (adj)	
nr%6eE~]e[	budhulug	dragonfly (n)	
EaaJ;?r6Zr	budhu	large fly (n)	
A6g3cx0zS`	bund [mb-]	cape [of land]; nose; snout (n)	
uwg0U9D`dW	bân	fair; favorable; good; wholesome (adj)	
f%TdhRxSoD	bída-	to compare; to liken (vb)	
"QG#*kOJmne"	bíleb	equal (adj)	
on8pj!WpIk	bîl	likeness; similarity (n)	
zP0B^RU!]i	bŷl	(single) service or favour (n)	
jwc>Gz)-]C	bŷr	vassal (n)	
w`Xz>FYfy9	cab-	to jump; to leap (vb)	
yk-uiO%gQS	cabed	leap (n)	
fcLHxpZK<6	cadudew	(lit.) shaped sign; allomorph (n)	
NQY$:HEke@	cadu	formed; shaped (adj)	
zE`ps(KX!)	cad	*after (adv)	
la55[UA$e^	caeda-	to lay (down); to lie (vb)	
joR*FkwR{u	caer	flat isle on a river (n)	
B7ao8oDws_	caetha-	to bring about; to cause; to compel; to induce; to make to do or be (vb)	
j_4u+uKC.w	caethas	causation (n)	
"xVTSNal#<~"	caetheb	original (n)	
EddYqrbP2H	caeth	cause; motive; reason (n)	
vxy(Ja+,F/	cafor	flea (n)	
D^H(x(XHmQ	cail	fence; palisade of spikes or sharp stakes (n)	
o7IqO:+9|&	cair; cîr	ship (n)	
vx8}Z*4|6!	cai	hedge (n)	
l3nE_i0^^S	cal-	to shine (vb)	
B~,%X0=:x.	calad	brightness; light; shining (n)	
g]&,Jp`9Ut	calan	day(light) (n)	
B/ww^n<*uE	calardan	lampwright (n)	
th5[4]_>II	calar	(portable) lamp (n)	
tlR[7Qw*Z-	calen	(orig.) bright-coloured; bright-coloured; green; †bright (adj)	
B@va.|C2WZ	calph	bucket; water-vessel (n)	
"N6H$a#f(?"	camlann; dalv	palm of hand (n)	
mEa.Pu5g|<	camma-	to accommodate; to adapt; to make fit; to suit (vb)	
iGWMQG*7T~	cammui	convenient; fitting; suitable (adj)	
m=&?Gt^ROm	cam	(cupped) hand; hand; handful; holding hand (n)	
PvIH23=oKM	can-	to call; to cry out; to shout (vb)	
mC?+b!KP8H	canad	four (cardinal)	
yz+jkZNU+w	canath	quarter (n)	
"fj$$=#n,D+"	canga-	*to go wrong; to tangle (vb)	
IahOZH:Qiq	cang	awry; confused; confusion; mixed up; mêllay; tangle; tangled (adj n)	
p8UM1@)L!}	cannas	[abstract] shape (n)	
F:Od0iugF?	canthil	square (n)	
xIh08-E0[	cant	outline; shape (n)	
k4Jm5a^ffY	car-	to do; to make (vb)	
"#@Lox*}X$"	carach	jaws; rows of teeth (n)	
g%sG%Uw/jG	caraed	effective; effectual; efficacious; productive (adj)	
qPL|%yLscr	caralluin	*red-blue (adj)	
Pp/Et?/Z}s	caran; coll	red (adj)	
w~Xl%L1cJf	caras	(orig.) fort or dwelling surrounded by bulwarks; a city (built above ground); circular earthwall with dike; city; city (built above ground) (n)	
r)dvpMu%MV	carch (Body Parts and Functions)	fang (n)	
E%JxgDD5%T	cared	*doing; action; making (n)	
IJNlS;!U=7	carf	implement; tool; weapon (n)	
"sh#4I10Zf/"	carnen	done; finished; made (adj)	
ec`O)q=3xM	caron	actor; agent; doer; maker (n)	
r2;z/}~1qF	carthas	activity (n)	
zJkS4oF91a	carweg	active; busy (adj)	
QHwRy^dED{	castol; thôl	helmet (n)	
L<rxnq]5j6	cathrae	*headdress; tressure (n)	
gJ4Mr%FqpB	cauda-	to get flavour of; to notice; to perceive (vb)	
f%00nji0YL	caudol	circumspect; discreet; endowed with good taste; tasteful (adj)	
vDWG.tvJED	caul	(great) burden; affliction (n)	
k?0hBC*EKW	caun (Language and Music)	clamour; outcry (n)	
Ja|.`?ZMD}	caun (Social Relations)	chief; head; prince (n)	
KfDG27mg$h	caur	action; doing; making; verb (n)	
K]q)Vz.=[S	caust	flavour; savour (n)	
FbX3i(-R`K	cauth	deception; lie (n)	
qHXJS+mX.E	cav-	to *accept; to receive (vb)	
y3;lVM{lO(	cavren; gwethriol; nathren; tuvriol	acceptable (adj)	
vR|aYUn[VO	caw-	to taste (vb)	
c%K6%|]S6s	caweth	sense of taste; taste (n)	
pDZ^e%j?w-	ceber (Spatial Relations)	spike; stake (n)	
"k-#Q5~e3vk"	ceiria-	to bring about; to cause (vb)	
Kg9pWO0@2@	celair	*shining; brilliant (adj)	
KZA4+k_)wK	celebrin	like silver (in hue or worth); of silver (adj)	
Q9li/;ua1K	celeb	silver (n)	
q!8BTh4oLB	celef	deer; hind (n)	
fLu3;y[oI+	celeg	agile; hasty; lambent; swift (adj)	
rVK9vi^KYh	celf	channel (n)	
n}Rja+V0D+	celia-	to illuminate; to illustrate; to light up (vb)	
j_g}[AtiPf	celias	(artificial) light; illumination (n)	
F`l71^L)}U	cell; siriol	flowing (adj)	
sV8+iY~y+H	celu	source; spring (n)	
Nlt4YvEj3r	cen-	to look; to perceive; to see (vb)	
dItLvI+:7V	cened	*seeing; looking (n)	
rmN{~NY7)9	cenedril	(lit.) looking-crystal; looking-glass; mirror (n)	
PWDg`:LBuT	ceredis	crafter (f.) (n)	
heD=s?^a2S	cerf; crist; sigil	knife (n)	
qLvJb?)u:e	cerin (Physical World)	artificial hill; circular mound; round enclosure (n)	
"nv<DUK=dQ#"	certhas	runes-rows; runic alphabet (n)	
"c+Hw#)w+,0"	certh	rune (n)	
if4|e7wsLI	cesta-	to look for; to search for; to seek (vb)	
K:&FjOjGV.	cestaedas	curiosity (n)	
nOB44j@M.T	cestaed	curious; inquisitive; seeking (adj)	
n18eWhX%Ig	ceth-	to examine; to interrogate; to search (vb)	
mfSu_{C}}:	cethaeg	horizon (n)	
o6-_Cw*%D.	cethia-	to cause interest; to interest (oneself) (vb)	
jA(v%H7B.J	cethiol	interesting (adj)	
L=[u9</Fvn	cevemphast	earth quake (n)	
CGb%be$Zj,	ceven	Earth (n)	
EQseKeRY6_	cevorf	(lit.) earth-apple; potato (n)	
POzs&RY{=}	ce	may(be); might (adv)	
wdcN&DR^[w	cil-	to choose; to select (vb)	
bu*)u`rn!<	cilith	*selection; choice; choosing (n)	
hY|gyq~)S5	cim	blade (n)	
IUt7y%kncv	cin	you (sg. fam.) (pron)	
xVfv;w=ebn	cirbann; hûb; lorn	haven (n)	
ES;b5Oh5kt	cirias	fleet (of ships) (n)	
MC,1d&.<4<	cirion	sailor; shipman (n)	
K_[.pTta!H	cirith	cleft; defile; pass; ravine (n)	
K1+:-WP/B.	ci	thou (pron)	
C*idu~yTUA	codhon	idol (n)	
byM.y+u-2>	col-	to bear; to carry; to wear (vb)	
i+vUnU^t%/	colch	box; chest (n)	
C)1XjU%7+E	coleb	burdensome (adj)	
"Py2SxG#WGh"	coll (n)	cloak; mantle (n)	
kNF{K*U&3`	collorn	*(lit.) orange-tree; laburnum (n)	
uFNKV7Mj;]	colof	orange [fruit] (n)	
L^5VwE*U}J	coltha-	to balance it on scales; to be worth; to bear up; to value or be equivalent to; to weigh (vb)	
s@J83qz3NB	colui	(lit.) carryable; light (to carry); not heavy (adj)	
iFX,GIx6Tn	com	bellied (adj)	
EbOXkpoNDS	condir	*(lit.) chief-man; mayor (n)	
QA`cTPjG}!	conui	commanding (adj)	
e:d9+P%Q4J	cor-	to congeal; to curdle; to make cheese; to turn sour (vb)	
xY>Ll;dV-V	coranor	(lit.) sun-round; solar year (n)	
Gti@(y`u7+	cordh	curdled; sour (of milk) (n)	
y_Y>2j9SSq	cordof	*a type of yellow and red apple; pippin (n)	
pcUZ.P}}_m	corf	ring (for fingers) (n)	
mFVOib=Q@5	corob	skull (n)	
kb~oDTScRH	corth	curd (n)	
"l)EgD+#Sbc"	coru	cunning; wily (adj)	
"G#fcZp@Q!y"	cor	circle; ring (n)	
rz_uJ(!dK;	cotha-	to startle (vb)	
ETQP|0J5/u	cov-; logra-	to bow (vb)	
zPP;9X-4J=	cova-	to assemble; to come together; to gather; to meet (vb)	
dS`dw~dw(g	covad(a)-	to bring together; to make meet (vb)	
N6s$b-NZ64	covas; govod	community (n)	
E@hBcBeyb-	covn	empty; void (n)	
P%@;&HF~|G	covra-	to empty (vb)	
B{=);b]qC2	craban	*raven; bird of crow-kind (n)	
"nrjFo1#$:Y"	cranna-	to accomplish; to achieve; to complete; to finish (vb)	
m&y]q^Ktg(	crannen	perfect (adj)	
l:Rh?]Qmid	crech	spittle (n)	
H>/+5$kb[.	crig	elbow (n)	
ri5oE.E|+J	crisg	sharp [edged] (adj)	
Fe^6daiJV*	criss (Physical Acts and Materials)	cleft; cut; gash; slash (n)	
ux07R:`6?.	crista-	to cut; to slash; to slice (vb)	
jdL7Mki&;s	cruin	coloured (adj)	
qm3i?t`R+S	cruith (Sense Perception)	appearance; complexion (n)	
nVN%sv0*^(	crui; cruith	colour (n)	
t;~mYq7Tt}	cui(w)	alert; awake (adj)	
zjgA*5)X/m	cuia-	to live (vb)	
PX:]O.rQ_$	cuida-	to bring to life; to energize; to enliven (vb)	
sVIE_(z)PF	cuileb	lively (adj)	
P)|5Q?P^q$	cuilvorn	lifetime (n)	
preA/a_~^@	cuina-	to be alive (vb)	
eU5&RIxz;o	cuinas	vitality (n)	
Eck.Xs.sG;	cuithas	life (period of life); livelihood; living (n)	
K_DhQ}j_bL	cuith	[biological process of] life; life; living body; the vital principle (n)	
tU_<&sYUmX	culuin	golden-red; orange (in colour) (adj)	
OY(|:5$MPO	cum	belly (n)	
"EkbsmkO#@^"	cund	*prince (n)	
whvK%XR%q/	cungan(d)	(lit.) bow-harp; viol(in) (n)	
kS{g&u/`w}	curunis	witch (n)	
"i3bvi7#i/="	curunír	man of craft; wizard (n)	
xFTr,!m5/]	curu (Physical Acts and Materials)	craft; cunning; magic; skill (of the hand) (n)	
fkz+w]VkTR	círdan	shipbuilder; shipwright (n)	
epu5lgX8+K	cîn	your (sg. fam.) (pron)	
h*P9-ZrM5c	cúron	crescent moon (n)	
w8TZF_J7^^	cútha-	to deceive; to lie (vb)	
fX`|03bb-R	cûd	foe (n)	
gIaS06CK*L	cûl	load (n)	
ciPfc4B6mv	cûr	cheese (n)	
BzAD$p&_a!	cû (Warfare and Hunting)	arch; bow; crescent (n)	
IQm!JH,sI_	cýra-	to renew (vb)	
zOk2RMOJTY	cýron	new-moon (n)	
e^^bb:fs~y	cŷl	*renewal (n)	
v+ckF-gdm|	cŷr	renewed (adj)	
c>[=3Mzg>l	dadhra- [nd-]	to face; to oppose; to resist; to stand in way; to thwart (vb)	
"PRpg/#d]%V"	agos; dae; odra	very (adv)	
k&;yVpws7	dae- [nd-]	abominable; detestable; dreadful (pref)	
A%I=2@yxdl	daebeth [nd-]	blasphemy (n)	
Aob!xaI]c_	daedelos [nd-]	horrible fear (n)	
hIp4G.yw;:	daer	great; large (adj)	
Nd]+ea49u.	daer [nd-]	bridegroom (n)	
P$N${S,-7D	dag- [nd-]	to kill; to slay (vb)	
mB4sF!g42d	dagnir [nd-]	bane; slayer (n)	
"E&d&[V1Ip#"	dagnis [nd-]	bane (f.); slayer (n)	
dc=vjNxd7K	dagor [nd-]; maeth	battle (n)	
fvTi/pG-^>	dagrassaeb	(lit.) slaughter-hungry; bloodthirsty (adj)	
o)F6-Sq|n(	dagrassaeg	(lit.) slaughter-hunger; bloodthirstiness (n)	
x/P<)_&Iw]	dagras [nd-]	slaughter (n)	
FF@vFG&_).	dananna- [nd-]	to give back; to return [something] (vb)	
K*j4A3hKDx	dandol- [nd-]	to come back; to return (vb)	
MaJ3gq`|9n	dangar- [nd-]; dannod-	to undo (vb)	
dw8z7*l>l,	dangen; dangen [nd-]	slain (adj)	
h~,Qyo+oaA	dangweth [nd-]	*(lit.) back-report; answer (n)	
z-(pu<:&A/	danna-; penna-	to fall (vb)	
D?h)3s+m_(	dannad	falling (n)	
nt-PPjC/wp	dannen [nd-]	ebb; lowtide (n)	
e{D1EU][pE	dannod-	to unloose; to untie (vb)	
s26OlL8-IR	dant	*fall (n)	
?;OVt*:zg	danwedh [nd-]	ransom (n)	
C(RA<]h}`-	dan [nd-]	(back in return) against; back again; back on; back to; down upon (prep)	
j0gI_IIzv<	dar-	to halt; to stop (vb)	
dl|a=(Lm6{	daur	league; pause; †stop (n)	
O8*pl20RU;	dav-	to allow; to permit; to yield (vb)	
J%Su_/8v$;	degil [nd]	victor; winner (n)	
QKsfz]IzE%	deloth	abhorrence; detestation; loathing (n)	
l,$q/h[j@;	delu	deadly; fell; hateful (adj)	
svGJw_jL[,	dem; dem (dimb-)	gloomy; sad (adj)	
GY&s;uULD!	dev- [nd-]	to *seek opportunity; to experiment; to try (vb)	
mS$r-s1>lF	dew-	to fail; to miss (vb)	
dATYgk846:	de; fi-	you (pron)	
Cottr>-aqj	di [nd-]	beneath; in; under (prep)	
O~/3s!MFE*	dilith [nd-]; gwend	friendship (n)	
gj1KwQz|$7	dim (n, Dwelling and Furniture)	stair (n)	
e838h{3m]t	dim (n, Emotion)	gloom; sadness (n)	
Pv(8vQPI?{	dirbedui	difficult to pronounce; hard to utter (adj)	
IhN2P+Kq{l	dod-	to drop; to fall down (vb)	
"g])Sq#nF~3"	dod	berry (n)	
o{[~[:z^F-	dol(l)	head; hill (n)	
D13/PQaAli	dollon [nd-]	(lit.) hidden-sound; phoneme; underlying sound (n)	
FqWLX0o(2`	dolph [nd-]	mole (n)	
PP53!wS9R(	dorgannas [nd-]	*geography; shapes of the lands (n)	
Ii,>dfy?xp	dorgant [nd-]	*(lit.) land-shape; landscape; scene (n)	
x}]C<:q%Pj	dorn	obdurate; stiff; thrawn; tough (adj)	
DA1B6a3oT`	dov-	to lie heavy (vb)	
"Ii({[:t=>#"	dovn; dufui; dûr [nd-]	gloomy (adj)	
A3A5%.iH+z	drab-	to (impersonal) to irk; to annoy; to labour; to work (vb)	
NE?o(YD>mi	drabol	labouring (adj)	
N!6NP,?@06	drab	irksome work; labour; toil (n)	
u(D&ZbsbB0	draug; garaf [ng-]; harw; ulug	wolf (n)	
c@m{jbF]0F	drautha-	to tire out; to weary (vb)	
d{7lt@DIQ%	drauthas	[wearisome] toil; weariness from labour (n)	
kLnxcWMpN!	drauthiel	arduous; labourious (adj)	
K1O}8|ORx/	drauth (adj)	tired; toilworn; weary (adj)	
d9tRw;UP=D	dravn	hewn log (n)	
ML.&X01y9j	drega-	to flee (vb)	
I4kSF@L:V|	dring	*beater (n)	
mg!n_c5YTy	drinna-	to turn; to twist (vb)	
Yr}D|571p	drint	turn; twist; wrench (n)	
z2:ydi=3-3	duia- [nd-]	to descend; to set [of sun]; to sink (vb)	
"e#71DviJ9F"	duidhrad	canal (n)	
gYi4tm:f2N	duinen	flood; high tide (n)	
sR-3d1P~:9	duiniant	aqueduct (n)	
G?$Rl7lsL(	duin	(large) river; river; water (n)	
IToW9=OdKe	dâd; nâd	grandfather (n)	
DF=3`fotvp	dêl	disgust (n)	
IMnVQ&|W>2	dírnaith [nd-]	(lit.) man-spearhead; wedge-shaped battle-formation (n)	
"dOQ):@[#;a"	dîn (n adj)	quiet; silence; silent (n adj)	
NF:CQ{oQ}w	dîr (adj, Physical Acts and Materials)	difficult; hard (adj)	
k<as)w&ToT	dî [nd-]	bride; woman (n)	
y9Z&&xl.0V	dôr [nd-]	country; country (inhabited); dwelling-place; land; people of the land; region where certain people live (n)	
Ilo]/Q(}9k	dúda- [nd-]	to lower [something] (vb)	
RxMyF2D{-	duilin; dúlin(n)	nightingale (n)	
KRZ7ip&kL0	dúnad	descent (n)	
Dt9P9nVtut	dúnen	western (adj)	
JJ!vQn2gUc	dúvad	dinner; supper (n)	
rAa.-do!9/	dûn [nd-]	west (n)	
PIB6-^V?$C	dûr [nd-]	dark (with evil implications); hellish (adj)	
Lw+89D={Yz	dû	dimness; late evening; night; night-fall (n)	
BV.N}A9{-u	dýgar	doing a wrong thing; mistaken act (n adj)	
CHb`-m12rr	dŷl	mistake (n)	
Q2`&+BTT{~	dŷr	mistaken; not right; off point (adj)	
IviDI.Oi90	eb (Grammar)	except; save (prep)	
n!)M&3!)PX	echad- (Spatial Relations)	to (lit.) to shape out; to cut out; to fashion; to form; to make; to shape (vb)	
ymYUh<~dk,	echad	camp (n)	
iFtazw@LA}	echor	encircling; outer circle (n adj)	
v182D)S!mA	echuia-	to awaken; to wake up (intr.) (vb)	
D50.5%W@b%	echuida-	to rouse; to wake up (trans.); to waken (vb)	
ltXN]4J1%*	echuir	(lit.) stirring; early Spring (n)	
jx8$`h):>o	echui(w)	awakening (n)	
yqp==GA&){	ech (pron)	?you; yourself (singular) (pron)	
b!$snht]Q|	ecthelorn	fir-tree; spruce (n)	
lH9JBY*OLp	ed (prep pref)	forth; out; out of (prep pref)	
NACY=d,){%	ed; ten (pron)	*it (pron)	
xS?8y[Th`L	edanna-	to (lit.) out-give; to publish (vb)	
w=%|9/=`pY	edhellen	elvish (adj)	
zZ)e3nDUu_	edinor	anniversary day (n)	
nnH]5r4[wM	edledhia-	to go into exile (vb)	
u4&x~(_/2/	edledhron	exile (n)	
D:k[Fwc`Xw	edlen(n)	exiled (adj)	
Gdm_|%LUCU	edlonui	foreign (adj)	
lYh>2OhDVY	edlon	*foreigner; outsider; stranger (n)	
qn?9IDgPlR	edol	ivy (n)	
x?D!28*W4^	edra-	to open; to open (out) (vb)	
pl!k9I(`e~	edrain	*(outer) border (n)	
Fbr~3KvS?K	edraith	rescue; saving (n)	
N=QWTeTf=V	edregol	*especially; in especial (adv)	
t?j^;?$bwC	edren	outer (adj)	
"v!n]#|J^a="	egel; eleg	other (adj)	
d`x`UaVg.~	eglan	forsaken (adj)	
yU-m-S.3,L	egleria-	to glorify (vb)	
r(P|fC6Q,0	egli(n)	needle (n)	
zqRjvA|4(`	egor	or (conj)	
CwGBFu%%_{	ego	be off! (interj)	
mn@H$Vt3BW	ein-	admirable; excellent (pref)	
MJj&M%{]xX	einior	elder (adj)	
mKJwjO7-!%	eirien	daisy (n)	
y@oMpb>pl!	eitha-	to insult; to prick with a sharp point; to stab; to treat with scorn (vb)	
ilMMHCFnc-	eithad	*insult (n)	
b3&W`_j(g?	eitheb	*(orig.) full of points; thorny (adj)	
k2D+A}3D]v	eithela-	to *issue forth; to spring; to well forth (vb)	
lz!{DoDx>D	eithel	fountain; issue of water; source; spring; well (n)	
oAVXv8`Q)B	eithos	thorn bush (n)	
MwYFw=[>~-	eithron	*spearman (n)	
c0`I&cOG2L	eithro	*also (adv)	
C/sB%1-*_/	elanor	(lit.) sun-star; pimpernel; small golden star-shaped flower; sun-star (n)	
u~x+GD?`pc	elchith	nebula; star cloud (n)	
wh;}iD0G5t	elia-	to bless (a work); to cause to prosper; to help one (vb)	
K42:AY?T7G	eliad	blessing (n)	
K-y;&;yhJ,	elias	blessedness (n)	
M?W}:/K>{8	elloth	single flower (n)	
"GHn+<b#oqT"	elo	behold! (interj)	
Pn[TT6jY4D	elui	starry (adj)	
"s9nO4i4E#X"	elu	(pale) blue (adj)	
zlLbDf:e}n	elva-	to admire; to marvel at (vb)	
AerG0Q*.7P	elvain	marvelous; wonderful; wondrous (adj)	
AN-zYr[6{c	elven	wonder; wonderment (n)	
Q_,,TN0|n.	amaith; emel; mabir; mam; naneth; nanwin	mother (n)	
PmGRCm;>Xx	emig	*mommy; [little] mother (n)	
oX(BZEA+Vl	emma-	to draw (something); to paint (vb)	
rwUZUda9YG	emmas	to drawing; to painting (vb)	
pK1G0)6`m?	em	image; picture (n)	
mkUJc/ttMp	en (adv)	that past; then (adv)	
oGQ[^LLdT/	en (prep)	of the (prep)	
k:6lV1G{KF	en (pron)	1st sg pronoun; that already mentioned (by you); that by you; that past (pron)	
dRS&<h8mtC	en-	*to name (vb)	
nSa;IolA=;	enas; enuith	title (n)	
!2_(ZfeBe	ened	moreover (adv)	
DTy8!7$mky	enedhren	central; essential (adj)	
N_|Rta=c&U	enedh	centre; core; middle (n)	
BYpP:L7Ofu	eneg	six (cardinal)	
HB^?;z:1!1	eneth	*name (n)	
Ba<OI:x4Zf	enia-	to be born; to be generated; to result (vb)	
P_Ig}+q>(k	ennais	(lit.) name sign; signature (n)	
BVlYUYjP/&	ennas	there (adv)	
ln4UsdLn7,	ennen; estannen	named (adj)	
If[{mf%o4r	eno	*still (adv)	
H7gJs_f-YB	enweria-	to revere (vb)	
g_<!lDHO;x	enwiol	nominal (adj)	
u&nO`c<g!0	ephed-	to say out (vb)	
NO^MHv$j3+	ephel	outer fence; surrounding ring (n)	
Qn^`^u0&M.	ephola-	?to remember (vb)	
QX+I(d)+@8	erchion	orchish (adj)	
Kiu8/g:a2g	ereb	alone; isolated; single (adj)	
F3e,e$!:hR	ereth	loneliness; oneness; solitude (n)	
b}s>ro~H{K	eriad; orost; rosta	rising (n)	
"eao#E:./X."	erlu	once; one time (adv)	
pwT%w^oN@x	ernil	prince (n)	
"x0#0G/a47W"	ero	*only; alone (adv)	
"ehmX&Z#|Je"	ertha-	to unite (vb)	
FVbm.G[UDV	erthad	union; uniting (n)	
cd0Epatc5X	eryn	forest (of trees); wood (n)	
z$HKATr?U=	er	alone; one (adj)	
LEGj!cyKhM	esbin	thin thread (n)	
u{L@(DyT~x	escar	weapon (n)	
ism^4Apr6>	esgal	cast shadow; hiding; screen; shade (n)	
"y#NhFD@OZs"	esgia-	to smoke (intr.) (vb)	
KOA^,Nc*iF	esta-	to *name; to call (vb)	
Lp-_2Q1eJU	estannen	called (adj)	
s%zEKaB*B3	estel	*faith [in]; hope; trust (n)	
mr:_4@viUs	estola-	to *erect tents; to encamp (vb)	
"D#B}ukkDQj"	estolad	encampment (n)	
pq]99Aro|w	ethir (Physical World)	(lit.) outflow; mouth of a river (n)	
"A6#vStsZw*"	ethir (Sense Perception)	spy (n)	
kf@9B]L;Y{	ethiria-	to flow out (vb)	
u/b>m15=m8	ethog-	to *bring out; to lead out (vb)	
wW?|c5yJYu	etholtha-	to extract; to make come out (vb)	
qo4nwIYPke	ethuil	spring [the season] (n)	
I?+g1:RTA8	eth (adj adv)	outside (adj adv)	
r9^(ZT8MBW	e; est; eth; ho; hon(o); is; on	he (pron)	
e`?e>45UVv	faefelf	*emotion; soul-feeling (n)	
EH9LeM}aTs	faeg	bad; mean; poor (adj)	
F![Q*zKLg7	fael (adj)	fair-minded; generous; just (adj)	
yYkWR,_a&S	fael (n adj)	*gleaming; gleam of the sun (n adj)	
mRyG.eM5o;	faelas	equity; fairness (n)	
r&-0~F?uaJ	faen; fanu	vapour (n)	
"P#_k<U*R[5"	faergol	(lit.) spirit-burden; depression; grief (n)	
B7&6i0.k[-	faer	spirit (in general) (n)	
AI%S[q7h@=	fae	*soul; incarnate spirit (n)	
FL>[0l>-:s	fain	radiant; shimmering; shining; white; white and shining [thing] (adj n)	
rHE)gar2wk	fair	prompt; quick; ready (adj)	
n4^G4+X3]a	fair	prompt; quick; ready (adj)	
I,lIPJ^h58	falas	beach (n)	
Ad?WD)d4$]	falchon	great two-handed sword; twibill (n)	
"AztQD#z/`b"	faloth	large foamy wave (n)	
jbzT}C(01t	fang	(long) beard; beard (n)	
JQNbiWov}9	fanui	(lit.) having much cloud; cloudy (adj)	
ElNQekQVBN	fanu	steam (n)	
A2sZHQ@:{j	fanwos	mind-picture (of apparition in dream) (n)	
nUpYTPJwvh	faran	*ash; rowan (n)	
rYFs%Z2>Sd	faroth	*hunting (n)	
CW0O6{,;<a	fartha- (Quantity and Number)	to sate; to satisfy (vb)	
xQR.//b`ye	farthannen	sated; satisfied (adj)	
u[|tFb~:5e	farthas	satiety; satisfaction (n)	
csyR/:l~gp	fass	tassle (n)	
E._;%oD-(}	fastui	hairy; hirsute; shaggy (n)	
N9+eVU20qO	fathol	(tasselled) fringe (n)	
u$%=%hWKMG	fathren	tasselled (adj)	
tsa+U(-1fO	faug	thirsty (adj)	
C&&cR6Njf`	faul	(orig.) inflated thing; bladder (n)	
"x}|i@#>r<<"	faw-	to blow; to pant; to puff (vb)	
zO|2ma0:AR	faw	*breath; puff of breath (n)	
l-(IO)dt9G	fel-	to feel (a sensation or emotion) (vb)	
L2!~]Lb{1A	felaich; gwass	splash (n)	
lII?PfH|rj	fela	boring; cave; mine; tunnel; underground dwelling (n)	
Mzq66oI.6?	felechia-	to splash (vb)	
!M29b_]0H	feleg; gorod; grond; groth; grûda; rond; roth	cave (n)	
Gj?La:oe/k	felf	feeling; sensation (n)	
e(r.>L-/FT	ann; fen(n)	door (n)	
ct1f_wQ%1Z	fend; fenn	threshold (n)	
A.M@Y2vIGk	fennas	doorway; gateway; great door (n)	
qPt(MtT;bt	feredis	hunter (f.) (n)	
))r/I%?TI	fergar	soon done (adj)	
jx*k.3A,=g	fergenol	quick to see or perceive; sharp-sighted or witted (adj)	
r`0dKWTc-Y	feria-	to make ready (promptly) (vb)	
LaYQ&=/oC4	fern	dead (of mortals); dead person (n adj)	
HboG2KxUoE	ferui	(quickly) available; ready to hand (adj)	
G3:N9Wf)[p	fesga-	to irritate; to itch (vb)	
nm(Go6uloR	fesg	irritating; itching (adj)	
AHbdNh%T.c	fess	itch; itching (n)	
k,RHnKg;_,	fidhras	*all hair on the body; collective hair (n)	
